dataset,path,bytes,log_bytes,shard_idx,shard_total,mean_episode_steps,mean_reward_mean,mean_reward_max,mean_reward_final,mean_action_abs_mean,mean_action_std,mean_instruction_units,mean_instruction_unique,mean_terminal_rate,records_decoded,record_parse_ok,record_parse_error,tail_score,source_target,qtail_target,source_pred,qtail_pred
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00000-of-00016,30536839,17.23444438154339,0.0,16.0,640.0,0.0015625000232830644,1.0,1.0,0.30992475152015686,0.5038445591926575,110.0,1.0,0.0015625,1,1,,0.6644975543022156,0.0001711938821244985,0.004207500256597996,0.0001739352592267096,0.004147381987422705
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00001-of-00016,39517083,17.49224364269656,1.0,16.0,827.0,0.0012091898825019598,1.0,1.0,0.2964755892753601,0.4876174330711365,110.0,1.0,0.0012091898428053204,1,1,,0.664292573928833,0.00022153840109240264,0.004070610273629427,0.00022441345208790153,0.004216921050101519
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00002-of-00016,221215409,19.21464749064705,2.0,16.0,639.0,0.0015649452107027173,1.0,1.0,0.31940150260925293,0.5111621022224426,110.0,1.0,0.001564945226917058,1,1,,0.5733233690261841,0.0012401650892570615,0.002340268576517701,0.0012385688023641706,0.0022418240550905466
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00003-of-00016,153237251,18.84749794498127,3.0,16.0,671.0,0.001490312977693975,1.0,1.0,0.31154781579971313,0.5019415020942688,110.0,1.0,0.0014903129657228018,1,1,,0.6031476259231567,0.0008590698707848787,0.002572756726294756,0.0008637916180305183,0.002652473747730255
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00004-of-00016,195518261,19.091164344791792,4.0,16.0,640.0,0.0015625000232830644,1.0,1.0,0.32278186082839966,0.5150001049041748,110.0,1.0,0.0015625,1,1,,0.59769207239151,0.0010961032239720225,0.002521742833778262,0.0010984120890498161,0.002577828709036112
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00005-of-00016,65040824,17.990525707625228,5.0,16.0,708.0,0.0014124293811619282,1.0,1.0,0.29355067014694214,0.48904091119766235,110.0,1.0,0.0014124293785310734,1,1,,0.6686224937438965,0.00036462812568061054,0.004447707440704107,0.00036567787174135447,0.004400864243507385
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00006-of-00016,56816675,17.85534043215111,6.0,16.0,550.0,0.001818181830458343,1.0,1.0,0.33735135197639465,0.5286787748336792,110.0,1.0,0.0018181818181818182,1,1,,0.6800693869590759,0.0003185223904438317,0.00465778075158596,0.0003160105843562633,0.004717907402664423
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00007-of-00016,61785037,17.93917178955625,7.0,16.0,688.0,0.0014534883666783571,1.0,1.0,0.3097016215324402,0.5022217631340027,110.0,1.0,0.0014534883720930232,1,1,,0.6885567903518677,0.00034637574572116137,0.005374355241656303,0.00034596360637806356,0.0051594870164990425
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00008-of-00016,35157866,17.375358963412012,8.0,16.0,746.0,0.0013404826167970896,1.0,1.0,0.31794002652168274,0.5066230297088623,110.0,1.0,0.0013404825737265416,1,1,,0.7300825715065002,0.00019710001652128994,0.007208944298326969,0.00019606192654464394,0.006973095703870058
austin_buds_dataset_converted_externally_to_rlds,/Users/avalok/work/Q-TAIL-MVP/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00009-of-00016,30442525,17.23135107043208,9.0,16.0,643.0,0.0015552099794149399,1.0,1.0,0.3177090883255005,0.5096192359924316,110.0,1.0,0.0015552099533437014,1,1,,0.7436169981956482,0.00017066513828467578,0.0072783175855875015,0.00016829444211907685,0.007375633344054222
