task_id,source,synthetic_count,synthetic_share,tail_score,group,success_rate_reference,service_stage,openx_calibrated_tail_gain_pp,openx_calibration_bucket,openx_bucket_predicted_gain_pp,openx_calibration_multiplier,base_synthetic_share,openx_calibrated_synthetic_share,openx_calibrated_synthetic_count,scenario_spec
openx_skill_bucket_01_cross_embodiment_skill,qtail_pt_synthetic,6494.065191025781,0.06494065191025782,0.10500000000000001,head,0.86,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.06494065191025782,0.03062972929831024,3062.972929831024,openx_skill_bucket_01_cross_embodiment_skill | tail_score=0.10500000000000001 | calibrated_share=0.03062972929831024
openx_skill_bucket_02_cross_embodiment_skill,qtail_pt_synthetic,3170.814439567419,0.03170814439567419,0.1106558242014909,head,0.8527,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.03170814439567419,0.014955376190762011,1495.537619076201,openx_skill_bucket_02_cross_embodiment_skill | tail_score=0.1106558242014909 | calibrated_share=0.014955376190762011
openx_skill_bucket_03_cross_embodiment_skill,qtail_pt_synthetic,2112.9834790516684,0.021129834790516683,0.1162218075632944,head,0.8454,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.021129834790516683,0.009966039771912332,996.6039771912332,openx_skill_bucket_03_cross_embodiment_skill | tail_score=0.1162218075632944 | calibrated_share=0.009966039771912332
openx_skill_bucket_04_cross_embodiment_skill,qtail_pt_synthetic,1598.82104906145,0.0159882104906145,0.12174042116141498,head,0.8381,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.0159882104906145,0.007540955393682649,754.0955393682649,openx_skill_bucket_04_cross_embodiment_skill | tail_score=0.12174042116141498 | calibrated_share=0.007540955393682649
openx_skill_bucket_05_cross_embodiment_skill,qtail_pt_synthetic,1296.6320792648096,0.012966320792648096,0.12722839114269227,head,0.8308,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.012966320792648096,0.006115659208698664,611.5659208698664,openx_skill_bucket_05_cross_embodiment_skill | tail_score=0.12722839114269227 | calibrated_share=0.006115659208698664
openx_skill_bucket_06_cross_embodiment_skill,qtail_pt_synthetic,1098.4365139027361,0.01098436513902736,0.13269439201054828,head,0.8235,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.01098436513902736,0.005180855455333976,518.0855455333976,openx_skill_bucket_06_cross_embodiment_skill | tail_score=0.13269439201054828 | calibrated_share=0.005180855455333976
openx_skill_bucket_07_cross_embodiment_skill,qtail_pt_synthetic,958.7700099890505,0.009587700099890505,0.13814362111166772,head,0.8162,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.009587700099890505,0.004522108263693627,452.21082636936274,openx_skill_bucket_07_cross_embodiment_skill | tail_score=0.13814362111166772 | calibrated_share=0.004522108263693627
openx_skill_bucket_08_cross_embodiment_skill,qtail_pt_synthetic,855.2228638326483,0.008552228638326482,0.14357948852630412,head,0.8089,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.008552228638326482,0.004033720641597369,403.3720641597369,openx_skill_bucket_08_cross_embodiment_skill | tail_score=0.14357948852630412 | calibrated_share=0.004033720641597369
openx_skill_bucket_09_cross_embodiment_skill,qtail_pt_synthetic,775.4939280424652,0.007754939280424652,0.14896937692974072,head,0.8016,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.007754939280424652,0.00365767333553238,365.76733355323796,openx_skill_bucket_09_cross_embodiment_skill | tail_score=0.14896937692974072 | calibrated_share=0.00365767333553238
droid_task_bucket_01_in_the_wild_manipulation,qtail_pt_synthetic,756.0228345015503,0.007560228345015503,0.10713534463032831,head,0.86,ready_for_synthetic_renderer,41.8281614780426,q1,-24.829441466135904,0.5034111706772819,0.007560228345015503,0.0035658365111770492,356.5836511177049,droid_task_bucket_01_in_the_wild_manipulation | tail_score=0.10713534463032831 | calibrated_share=0.0035658365111770492
