task_id,group,tail_score,source_share,synthetic_share,source_effect,synthetic_effect
button-press-topdown-v3,head,0.15176,0.05531653349723417,0.019772617781287423,0.8527476096772573,0.808383815790217
door-open-v3,head,0.15176,0.05531653349723417,0.019772617781287423,0.8527476096772573,0.808383815790217
drawer-close-v3,head,0.15176,0.05531653349723417,0.019772617781287423,0.8527476096772573,0.808383815790217
pick-place-v3,head,0.17386,0.05531653349723417,0.019772617781287423,0.8382031227429327,0.7882585623022342
peg-insert-side-v3,head,0.17386,0.05531653349723417,0.019772617781287423,0.8382031227429327,0.7882585623022342
push-v3,head,0.18712,0.05531653349723417,0.019772617781287423,0.829240743211319,0.7760356667685363
reach-v3,head,0.15176,0.05531653349723417,0.019772617781287423,0.8527476096772573,0.808383815790217
window-open-v3,head,0.15176,0.05531653349723417,0.019772617781287423,0.8527476096772573,0.808383815790217
window-close-v3,head,0.15176,0.05531653349723417,0.019772617781287423,0.8527476096772573,0.808383815790217
basketball-v3,medium,0.3379808614883988,0.026121696373693916,0.01589654921143842,0.7273229314508998,0.6910137697116282
button-press-topdown-wall-v3,medium,0.30262086148839884,0.026121696373693916,0.015882051788758008,0.760664985742406,0.7260838927562454
button-press-wall-v3,medium,0.30262086148839884,0.026121696373693916,0.015882051788758008,0.760664985742406,0.7260838927562454
coffee-button-v3,medium,0.30262086148839884,0.026121696373693916,0.015882051788758008,0.760664985742406,0.7260838927562454
coffee-pull-v3,medium,0.3379808614883988,0.026121696373693916,0.015882051788758008,0.7273229314508998,0.690955184264445
dial-turn-v3,medium,0.30262086148839884,0.026121696373693916,0.015882051788758008,0.760664985742406,0.7260838927562454
disassemble-v3,medium,0.30262086148839884,0.026121696373693916,0.015882051788758008,0.760664985742406,0.7260838927562454
faucet-open-v3,medium,0.30262086148839884,0.026121696373693916,0.011699545345459039,0.760664985742406,0.7088485345429619
faucet-close-v3,medium,0.30262086148839884,0.026121696373693916,0.015882051788758008,0.760664985742406,0.7260838927562454
pick-place-wall-v3,medium,0.32472086148839885,0.026121696373693916,0.015882051788758008,0.7398758625112185,0.7041550388786303
pick-out-of-hole-v3,medium,0.32472086148839885,0.026121696373693916,0.015882051788758008,0.7398758625112185,0.7041550388786303
stick-pull-v3,medium,0.3379808614883988,0.026121696373693916,0.01589654921143842,0.7273229314508998,0.6910137697116282
assembly-v3,tail,0.5884734149184112,0.007990165949600492,0.019402194919496386,0.5891744935439674,0.6458105946562549
button-press-v3,tail,0.5663734149184112,0.007990165949600492,0.01669117687825927,0.6120175947814914,0.655812337888729
coffee-push-v3,tail,0.6017334149184113,0.007990165949600492,0.023693432032898445,0.5754642413976798,0.6511757350409451
hammer-v3,tail,0.6017334149184113,0.007990165949600492,0.019402194919496386,0.5754642413976798,0.6323771946666359
