States, Raw probabilities(%)
0,0.00536617429591183
1,0.007773647611875778
10,0.005033903092728091
100,0.006898890422599583
101,0.0025323651599311113
110,0.00038652370188335726
111,0.006117369856508494
1000,0.0008730941455743996
1001,0.006208465571711087
1010,0.006569238411942211
1100,0.0015418020744142262
1101,0.007367087967646783
1110,0.0020781600971619203
1111,0.0024864898182649026
10000,0.0022648498153237783
10001,0.005320880873616939
10010,0.0060685421981508305
10011,7.976225170002049e-06
10100,0.012124214375569618
10101,0.001659892376930831
10110,0.0023650391688826806
10111,0.01228621536623981
11000,0.0008380064082436482
11001,0.0005296328161144192
11010,0.008690192133818834
11011,0.0019084172112844747
11100,0.0005396997849721171
11101,0.01200992215064852
11110,0.00017053548679128654
11111,0.002009276688098842
100000,0.0003670042820032766
100001,0.003152032212222085
100010,0.003080040609602929
100011,0.00023644695734997872
100100,0.0022132601050241594
100101,0.001834256998856358
100110,0.0006442866622347199
100111,0.01658345246453173
101000,0.00011107930645722219
101010,0.0006424294511780226
101011,0.0024700352823204363
101100,0.005034833698499096
101101,0.005624761382415686
101110,0.00036425027362519535
101111,0.00282372553194351
110000,0.0006950236957618805
110001,0.014426850955212678
110010,0.003853165020832353
110011,0.004837755063864741
110100,0.005347550551128705
110101,0.01005651992808303
110110,0.0003720575649802507
110111,0.0018718288351805422
111000,0.0006263477883880106
111001,0.005959524683311528
111010,0.001057278129391654
111011,0.004156574604621505
111100,0.00014433710493677742
111101,4.47368693289999e-05
111110,0.0019750452204487746
111111,0.0017455388574985256
1000000,0.0023446631350746553
1000001,0.007247755455128702
1000010,0.0026289522483749455
1000011,0.0020800179009661727
1000100,0.004043978780689881
1000101,0.0005859512549547168
1000110,0.0017009518469060395
1000111,0.009337251488072717
1001000,0.00018061117390765226
1001001,0.017340794070689527
1001010,0.013190574780026458
1001011,0.0027759092477964466
1001100,0.006319794687319081
1001101,0.0015084698330701707
1001111,0.0018747608356658755
1010000,0.004190231751703881
1010001,0.004426614166059648
1010010,0.0011464610099517966
1010011,0.00010355903548281761
1010100,0.0005895442572722673
1010101,0.001274855867319196
1010110,0.0010675298319998314
1010111,0.00026803913710414756
1011000,0.0002393076843024599
1011001,0.0010989524199508571
1011010,0.0011638180476538447
