States, Raw probabilities(%)
0,0.0004910434725469298
1,0.0010155046897614476
10,0.007178074012415587
11,0.003236466791743998
100,0.001980934428126145
101,0.002658850462177619
110,0.006342645550204893
111,0.001981948710044244
1000,0.0041567029594168255
1001,0.0008494313078177129
1010,0.0038185692549173116
1011,0.0026046641117228207
1101,0.009049311557779815
1110,0.0017796176789045982
1111,0.0004795963353159231
10000,0.0022185569871556034
10001,0.0002616170703914243
10010,0.002789456035456881
10011,0.002756936854384621
10100,0.001307794759981952
10101,0.010479265145615136
10110,0.000696902264166866
10111,0.0009072682675009625
11000,0.002096619541136402
11001,0.0013905182427726402
11010,0.0007669287004630782
11011,0.00602153103546689
11100,0.007326521267852978
11101,0.0037407002557110873
11110,0.00234702503183833
11111,0.0019257186392962887
100000,0.00927935898273643
100001,0.005960136178005963
100011,3.725544472111315e-06
100100,0.003630016050491068
100101,0.004550227161947253
100110,0.001117687085174758
100111,0.0037571836661344986
101000,0.0012962331020829176
101001,0.0027677233164161465
101010,0.0028968404483798622
101011,0.010171700909674527
101100,0.0007747178488262314
101101,0.0046788411794511375
101110,0.022114692357392652
101111,0.00012433226740445326
110000,0.001990248813066147
110010,0.0009725981925748626
110011,0.004961559926986072
110100,0.006013536195764936
110101,0.0009066903819973871
110110,0.0007526457387466534
110111,0.0056326319624402
111000,0.0035004653014783006
111001,1.3731549232309033e-05
111010,0.0024034929010762827
111011,0.0012122303944943076
111101,0.015415382257481559
111110,0.0019422539194929203
111111,0.003176693067512811
1000000,0.0011709853939934737
1000001,0.0017148949064810948
1000010,0.0008679911988245857
1000011,0.0009044214325673205
1000100,0.004977668439444523
1000101,0.0068426921650571355
1000110,0.0027043711486467586
1000111,0.0024833626078579196
1001000,0.0026712739852489662
1001001,0.003160003231359567
1001010,0.00029668860625353856
1001100,0.00122363712944238
1001101,0.003936638405334519
1001110,0.0016575440330346897
1001111,0.0029812582822025093
1010000,0.0006921541353950675
1010001,0.002170704160252102
1010010,0.007428204085620186
1010011,0.011435280890390944
1010100,0.006472000901973095
1010101,0.011687431255207922
1010110,0.0007041553657536607
1010111,0.00018666540617551998
